연번,업종명,상호,영업소소재지(도로 명),"실외, 실내",실외흡연실 형태,
207,관광숙박업,호텔더디자이너스프리미어건대,서울특별시 광진구 동일로 172 (화양동),실외,완전개방형,
208,관광숙박업,호텔케이월드,"서울특별시 광진구 동일로 90, 호텔케이월드 (자양동)",실외,완전개방형,
209,관광숙박업,SK 네트웍스 (주) 워커힐,서울특별시 광진구 워커힐로 177 (광장동),실외,완전개방형,
210,관광숙박업,휴호스텔,"서울특별시 광진구 자양로 18길 26, 4층 (구의동)",실외,완전개방형,
211,관광숙박업,호텔더디자이너스건대,서울특별시 광진구 천호대로 521 (중곡동),실외,완전개방형,
212,관광숙박업,호텔부티크나인,서울특별시 광진구 천호대로 560 (능동),실외,완전개방형,
213,일반음식점,수내닭꼬치구의점,"서울특별시 광진구 자양로 165, 송곡회관 1층 (구의동)",실외,완전개방형,
214,일반음식점,본죽 아차산점,서울특별시 광진구 자양로 283 (구의동),실외,완전개방형,
215,자치단체 청사,구의1동 주민자치센터,서울특별시 광진구 광나루로 36길 56 (구의동),실외,완전개방형,
216,자치단체 청사,광진구청 ,서울특별시 광진구 자양로 117(자양동),실외,완전개방형,
217,공연장,새천년관 대공연장,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",실외,완전밀폐형,
218,공공기관 청사,광진우체국,서울특별시 광진구 강변역로 2 (구의동),실외,폐쇄형,
