"","address","purpose1","purpose2","lon","lat"
"12910","서울특별시 서초구 서초동 1550-11","업무시설","사무소",127.0103505,37.4907764
"12911","서울특별시 서초구 서초동 1550-12","제2종근린생활시설","사무소",127.0104884,37.4906081
"12912","서울특별시 서초구 서초동 1550-13","제2종근린생활시설","사무소",127.0103767,37.4905045
"12913","서울특별시 서초구 서초동 1550-14","제2종근린생활시설","사무소",127.010198,37.4904201
"12914","서울특별시 서초구 서초동 1550-17","단독주택","다가구주택",127.0099038,37.4902608
"12915","서울특별시 서초구 서초동 1551-1","제2종근린생활시설","기타사무소",127.0095788,37.4911564
"12916","서울특별시 서초구 서초동 1551-2","자동차관련시설","주차장",127.010031,37.4912476
"12917","서울특별시 서초구 서초동 1551-4","업무시설","사무소",127.0102069,37.4911176
"12918","서울특별시 서초구 서초동 1551-5","제2종근린생활시설","사무소",127.0100686,37.4909695
"12919","서울특별시 서초구 서초동 1551-7","공동주택","연립주택",127.0097378,37.4910199
"12920","서울특별시 서초구 서초동 1551-8","공동주택","연립주택",127.0098242,37.4908116
"12921","서울특별시 서초구 서초동 1551-9","제2종근린생활시설","사무소",127.0097558,37.4911967
"12922","서울특별시 서초구 서초동 1552-1","업무시설","사무소",127.0089361,37.4913574
"12923","서울특별시 서초구 서초동 1552-2","제2종근린생활시설","사무소",127.0089123,37.4911851
"12924","서울특별시 서초구 서초동 1552-4","업무시설","기타일반업무시설",127.009107,37.4910002
"12925","서울특별시 서초구 서초동 1552-5","제2종근린생활시설","일반음식점",127.009203,37.4908379
"12926","서울특별시 서초구 서초동 1552-6","제2종근린생활시설","고시원",127.0092375,37.4907085
"12927","서울특별시 서초구 서초동 1552-7","제2종근린생활시설","일반음식점",127.0092598,37.4905627
"12928","서울특별시 서초구 서초동 1552-8","업무시설","사무소",127.0094827,37.4907249
"12929","서울특별시 서초구 서초동 1552-10","제2종근린생활시설","사무소",127.0093831,37.4909043
"12930","서울특별시 서초구 서초동 1552-11","제2종근린생활시설","사무소",127.0093025,37.4910154
"12931","서울특별시 서초구 서초동 1552-12","단독주택","다가구주택",127.0092998,37.4911316
"12932","서울특별시 서초구 서초동 1552-13","교육연구시설","기타교육연구시설",127.009184,37.4914207
